method,epsilon,cosine_similarity
fgsm,0.001,0.9040644822082248
fgsm,0.001,0.8333898782730103
fgsm,0.001,0.8887850046157837
fgsm,0.001,0.32487193793821767
fgsm,0.001,0.8487097440612071
fgsm,0.001,0.41237986610055843
fgsm,0.001,0.8809422921572765
fgsm,0.001,0.8388109457138466
fgsm,0.001,0.7467797692751662
fgsm,0.001,0.9253250912025641
fgsm,0.001,0.8957118391990662
fgsm,0.001,0.6452864408493042
fgsm,0.001,0.8874497014984257
fgsm,0.001,0.9042981324018177
fgsm,0.001,0.8719759507164941
fgsm,0.001,0.7069804668426514
fgsm,0.001,0.7205410003662109
fgsm,0.001,0.7524851560592651
fgsm,0.001,0.8924105699307082
fgsm,0.001,0.5536720917723209
fgsm,0.001,0.664827823638916
fgsm,0.001,0.5452603101730347
fgsm,0.001,0.6942314116427726
fgsm,0.001,0.4805327201048353
fgsm,0.001,0.655121386051178
fgsm,0.001,0.7008925676345825
fgsm,0.001,0.26417869329452515
fgsm,0.001,0.8970079956655516
fgsm,0.001,0.9141883850097656
fgsm,0.001,0.9795147764393571
fgsm,0.001,0.9780713002149473
fgsm,0.001,0.8159586434351997
fgsm,0.001,0.938766360282898
fgsm,0.001,0.9300727248191833
fgsm,0.001,0.7570307480404007
fgsm,0.001,0.4625132519755739
fgsm,0.001,0.8244634866714478
fgsm,0.001,0.8331448435783386
fgsm,0.001,0.7835255265235901
fgsm,0.001,0.81910545712081
fgsm,0.001,0.8568781614303589
fgsm,0.001,0.6192808151245117
fgsm,0.001,0.7166587541496023
fgsm,0.001,0.7667794227600098
fgsm,0.001,0.8225586904620358
fgsm,0.001,0.833869218826294
fgsm,0.001,0.8801558017730713
fgsm,0.001,0.7653310159046077
fgsm,0.001,0.8744869903035781
fgsm,0.001,0.7980710147661589
fgsm,0.001,0.8409940004348755
fgsm,0.001,0.1701918989419937
fgsm,0.001,0.9325087030237157
fgsm,0.001,-0.05597034469246864
fgsm,0.001,0.10339601517284092
fgsm,0.001,0.8255894184112549
fgsm,0.001,0.8295749077074206
fgsm,0.001,0.8470867872238159
fgsm,0.001,0.583387017250061
fgsm,0.001,0.6387791823976992
fgsm,0.001,0.7069677114486694
fgsm,0.001,0.94344091078287
fgsm,0.001,0.3074836914231599
fgsm,0.001,0.041998667031486914
fgsm,0.001,0.9589743614196777
fgsm,0.001,0.9697633349613419
fgsm,0.001,0.8745064214166167
fgsm,0.001,0.7632092237472534
fgsm,0.001,0.9476776154233463
fgsm,0.001,0.8604413270950317
fgsm,0.001,0.9193896329221024
fgsm,0.001,0.7732471227645874
fgsm,0.001,0.13368717632813332
fgsm,0.001,0.13338754376098794
fgsm,0.001,0.4635894000530243
fgsm,0.001,0.4698824918410225
fgsm,0.001,0.8586415308309061
fgsm,0.001,0.5313205718994141
fgsm,0.001,0.785362077631828
fgsm,0.001,0.7116710715489953
fgsm,0.001,0.36607421535474716
fgsm,0.001,0.47834983597100844
fgsm,0.001,0.5506029992936263
fgsm,0.001,0.5772151602974449
fgsm,0.001,0.40926031497896675
fgsm,0.001,0.673991859614124
fgsm,0.001,0.6355675837735894
fgsm,0.001,0.8756843135168755
fgsm,0.001,0.6045507192611694
fgsm,0.001,0.6882516350821151
fgsm,0.001,0.3028101921081543
fgsm,0.001,0.5459492802619934
fgsm,0.001,0.6741421222686768
fgsm,0.001,0.6912532654778145
fgsm,0.001,0.5469322204589844
fgsm,0.001,0.878008246421814
fgsm,0.001,0.7509607076644897
fgsm,0.001,0.5207350409249976
fgsm,0.001,0.9066699147224426
fgsm,0.001,0.8948718309402466
fgsm,0.001,0.7031910773287969
fgsm,0.001,0.8091740012168884
fgsm,0.001,0.7742336526969892
fgsm,0.001,0.8121107816696167
fgsm,0.001,0.9217185974121094
fgsm,0.001,0.5194619011558245
fgsm,0.001,0.8118512518317268
fgsm,0.001,0.837041437625885
fgsm,0.001,0.7945488095283508
fgsm,0.001,0.8727761507034302
fgsm,0.001,0.9390270150287755
fgsm,0.001,0.8693877639819207
fgsm,0.001,0.8353820043346936
fgsm,0.001,0.7710771833566263
fgsm,0.001,0.9477167694399832
fgsm,0.001,0.31072600952077023
fgsm,0.001,0.677450796289766
fgsm,0.001,0.5714911563093169
fgsm,0.001,0.8331462641445571
fgsm,0.001,0.7733500734955042
fgsm,0.001,0.8305404433769124
fgsm,0.001,0.8291251165196245
fgsm,0.001,0.9374408721923828
fgsm,0.001,0.966295271107414
fgsm,0.001,0.45357465744018555
fgsm,0.001,0.7591065168380737
fgsm,0.001,0.2026655496755574
fgsm,0.001,0.7243582606315613
fgsm,0.001,0.7971477508544922
fgsm,0.001,0.7784346210023548
fgsm,0.001,0.7737997635483614
fgsm,0.001,0.7263400771123197
fgsm,0.001,0.8601499116510115
fgsm,0.001,0.8246997594833374
fgsm,0.001,0.7408950924873352
fgsm,0.001,0.23239292896964947
fgsm,0.001,0.7855098715728459
fgsm,0.001,0.620195209980011
fgsm,0.001,0.9084389264321984
fgsm,0.001,0.8315794715756024
fgsm,0.001,0.9013465046882629
fgsm,0.001,0.8899830514182495
fgsm,0.001,0.9289383334554252
fgsm,0.001,0.8778163194656372
fgsm,0.001,0.923982560634613
fgsm,0.001,0.7855843177786077
fgsm,0.001,0.774869441986084
fgsm,0.001,0.9179118871688843
fgsm,0.001,0.956529974937439
fgsm,0.001,0.8110792878591806
fgsm,0.001,0.9035871624946594
fgsm,0.001,0.9648451784160856
fgsm,0.001,0.3121643848517176
fgsm,0.001,0.9117165803909302
fgsm,0.001,0.8962319493293762
fgsm,0.001,0.7622948884963989
fgsm,0.001,0.8188381899095675
fgsm,0.001,0.7818962568609794
fgsm,0.001,0.714135591459479
fgsm,0.001,0.5930551290512085
fgsm,0.001,0.6502774953842163
fgsm,0.001,0.6730877161026001
fgsm,0.001,0.483288793759871
fgsm,0.001,0.8290499448776245
fgsm,0.001,0.9023290872573853
fgsm,0.001,0.5939004067241914
fgsm,0.001,0.8042608266187756
fgsm,0.001,0.7695927023887634
fgsm,0.001,0.5909814834594727
fgsm,0.001,0.6694464284511561
fgsm,0.001,0.9494364261627197
fgsm,0.001,0.9376023448942711
fgsm,0.001,-0.023349767079935635
fgsm,0.001,0.9002895355224609
fgsm,0.001,0.8325718641281128
fgsm,0.001,0.8953012228012085
fgsm,0.001,0.32497943490866277
fgsm,0.001,0.8973619013238524
fgsm,0.001,0.7396912574768066
fgsm,0.001,0.9100239494464388
fgsm,0.001,0.945684552192688
fgsm,0.001,0.8793812990188599
fgsm,0.001,0.9060975909233093
fgsm,0.001,0.7239834995289497
fgsm,0.001,0.8607450723648071
fgsm,0.001,0.8673222740100475
fgsm,0.001,0.8738460615965107
fgsm,0.001,0.859526600227553
fgsm,0.001,0.8649295052928043
fgsm,0.001,0.9124621696747659
fgsm,0.001,0.9372269194491784
fgsm,0.001,0.7047016234606991
fgsm,0.001,0.7951360222778348
fgsm,0.001,0.39699592572426423
fgsm,0.001,0.4748536065308099
fgsm,0.001,0.4764536917209625
fgsm,0.001,0.19186348866602743
fgsm,0.001,-0.05057305470108986
fgsm,0.001,0.933426022529602
fgsm,0.001,0.260926216840744
fgsm,0.001,0.8468637718815739
fgsm,0.001,0.7451161742210388
fgsm,0.001,0.8206980962185383
fgsm,0.001,0.9316564839091029
fgsm,0.001,0.8541879821587819
fgsm,0.001,0.8913733298405025
fgsm,0.001,0.4174239288225139
fgsm,0.001,0.4014231323347617
fgsm,0.001,0.6412667632102966
fgsm,0.001,0.5032152237424397
fgsm,0.001,0.8720262203185357
fgsm,0.001,0.7937951920567514
fgsm,0.001,0.6182651519775391
fgsm,0.001,0.829135855539345
fgsm,0.001,0.4212516797334964
fgsm,0.001,0.8349646480349915
fgsm,0.001,0.7569265365600586
fgsm,0.001,0.8424158786287395
fgsm,0.001,0.8579572950576139
fgsm,0.001,0.7349375486373901
fgsm,0.001,0.6324004311800271
fgsm,0.001,0.761695384979248
fgsm,0.001,0.9146855695264587
fgsm,0.001,0.7859935994742396
fgsm,0.001,0.818619180835438
fgsm,0.001,0.9371733311271703
fgsm,0.001,0.5862385034561157
fgsm,0.001,0.9279893083578777
fgsm,0.001,0.24626456201076508
fgsm,0.001,0.8423157930374146
fgsm,0.001,0.9014966756551471
fgsm,0.001,0.4656482477679329
fgsm,0.001,0.9404952806381969
fgsm,0.001,0.7882335059781986
fgsm,0.001,0.8607573509216309
fgsm,0.001,0.6890864372253418
fgsm,0.001,0.7454537597569098
fgsm,0.001,0.7875066995620728
fgsm,0.001,0.4417692755598269
fgsm,0.001,0.5228805853653312
fgsm,0.001,0.8604353666305542
fgsm,0.001,0.794410228729248
fgsm,0.001,0.42700052696463375
fgsm,0.001,0.4433867633342743
fgsm,0.001,0.7991426467384499
fgsm,0.001,0.40217210060870967
fgsm,0.001,0.7728774547576904
fgsm,0.001,0.8010227680206299
